Programm log: 0.014893054962: Including mr_ses 0.019701004028: Including mr_sql 0.023802995682: Database connected 0.023941993713: SELECT * FROM mr_sessions WHERE user_id IS NULL AND remote_addr='84.237.120.114' 0.024972915649: DELETE FROM mr_sessions WHERE timeМосква
Мурманск
Архангельск
Астрахань
Белгород
Нижний Новгород
Новосибирск
Брянск
Омск
Орёл
Оренбург
Владимир
Волгоград
Вологда
Пенза
Воронеж
Пермь
Псков
Рязань
Самара
Санкт-Петербург
Саратов
Смоленск
Иваново
Иркутск
Калининград
Калуга
Тамбов
Кемерово
Тверь
Киров
Томск
Тула
Тюмень
Ульяновск
Кострома
Челябинск
Курган
Курск
Чита
Липецк
Магадан
Ярославль


cities in regs: 195
Каргополь (Архангельская область)
Сычевка (Смоленская область)
Карпинск (Свердловская область)
Сясьстрой (Ленинградская область)
Карталы (Челябинская область)
Тавда (Свердловская область)
Касимов (Рязанская область)
Касли (Челябинская область)
Тайга (Кемеровская область)
Каспийск (Республика Дагестан)
Тайшет (Иркутская область)
Катав-Ивановск (Челябинская область)
Талдом (Московская область)
Катайск (Курганская область)
Талица (Свердловская область)
Качканар (Свердловская область)
Тамбов
Кашин (Тверская область)
Тара (Омская область)
Тарко-Сале (Ямало-Ненецкий автономный округ)
Кедровый (Томская область)
Таруса (Калужская область)
Татарск (Новосибирская область)
Кемь (Республика Карелия)
Таштагол (Кемеровская область)
Кизел (Пермский край)
Кизилюрт (Республика Дагестан)
Теберда (Карачаево-Черкесская Республика)
Кизляр (Республика Дагестан)
Тейково (Ивановская область)
Кимовск (Тульская область)
Темников (Республика Мордовия)
Кимры (Тверская область)
Темрюк (Краснодарский край)
Кингисепп (Ленинградская область)
Терек (Кабардино-Балкарская Республика)
Кинель (Самарская область)
Тетюши (Республика Татарстан)
Кинешма (Ивановская область)
Тимашевск (Краснодарский край)
Киреевск (Тульская область)
Тихвин (Ленинградская область)
Киренск (Иркутская область)
Тихорецк (Краснодарский край)
Киржач (Владимирская область)
Тобольск (Тюменская область)
Кириллов (Вологодская область)
Тогучин (Новосибирская область)
Кириши (Ленинградская область)
